Team,Player,NBA,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_x,LaneAgilityTime,ShuttleRun,ThreeQuarterSprint,StandingVerticalLeap,MaxVerticalLeap,MaxBenchPress,Pos_y,BodyFat%,HandLength,HandWidth,HeightNoShoes,HeightShoes,StandingReach,Weight,Wingspan
alabama,Gerald Wallace,1,36,2,22.9,3.5,8,0.438,3.2,6.3,0.511,0.3,1.8,0.175,2.4,4.3,0.568,2.3,3.7,6,1.5,1.2,1,2.4,2.4,9.8,,,,,,,,,,,,,,,,
alabama,Mo Williams,1,29,29,35.8,5.5,12.8,0.431,3.6,6.6,0.539,2,6.2,0.317,3.4,4,0.838,1,2.9,3.9,3.9,1.2,0.2,3,2.1,16.4,,,,,,,,,,,,,,,,
alabama,Jermareo Davidson,1,30,30,32.3,5,12.2,0.407,4.8,11.7,0.414,0.1,0.5,0.25,3.9,5,0.775,2.1,6.1,8.2,1.5,0.8,2.3,1.7,1.8,14,PF,12.63,-,3.53,27.0,30.0,7,PF,6.90%,-,-,6ft9in,6ft11in,9ft1.5in,230,7ft4in
alabama,Collin Sexton,1,33,32,29.9,5.9,13.3,0.447,4.6,9.3,0.495,1.3,4,0.336,5.9,7.6,0.778,1,2.7,3.8,3.6,0.8,0.1,2.8,2.5,19.2,PG,-,-,-,-,-,-,PG,5.60%,8.25,8.50,6ft0.5in,6ft1.5in,8ft2.5in,183,6ft7.25in
alabama-birmingham,Walter Sharpe,1,12,10,24.9,5.7,10.8,0.523,5.7,10.6,0.535,0,0.3,0,2.8,5.4,0.523,1.8,5,6.8,1.7,1.2,1.8,2.8,3,14.2,,,,,,,,,,,,,,,,
arizona,Loren Woods,1,29,28,30.3,4.6,9.1,0.504,4.6,9,0.506,0,0.1,0.333,4,4.9,0.83,1.6,4.9,6.5,2.1,0.7,2.9,2,2.2,13.2,,,,,,,,,,,,,,,,
arizona,Richard Jefferson,1,35,34,27.5,4.2,8.8,0.479,3.3,6.2,0.535,0.9,2.6,0.344,2.1,3.1,0.655,1.7,3.8,5.4,2.7,0.8,0.8,3,2.8,11.3,SF,11.19,-,3.15,33.0,38.5,14,,,,,,,,,
arizona,Gilbert Arenas,1,36,33,29,5.8,12.1,0.479,3.9,7.4,0.519,1.9,4.6,0.416,2.7,3.7,0.724,0.8,2.8,3.6,2.3,1.8,0.2,2.8,2.3,16.2,SG,-,-,3.25,31.5,36.0,12,,,,,,,,,
arizona,Luke Walton,1,28,28,27.6,3.8,9.1,0.42,2.8,6.5,0.434,1,2.6,0.384,2.1,3.1,0.678,1.4,4.2,5.6,5.1,0.9,0.3,2.8,2,10.8,,,,,,,,,,,,,,,,
arizona,Channing Frye,1,37,37,31,6.1,11.1,0.554,6.1,10.6,0.57,0.1,0.5,0.176,3.4,4.1,0.83,2.8,4.8,7.6,1.9,0.9,2.3,1.7,2.6,15.8,,,,,,,,,,,,,,,,
